id,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,batch,filename
v4_mascot_shonen_011,pet,shonen,slice,pirate,samurai,3,161__v4_mascot_shonen_011.png
v4_mascot_shonen_012,pet,shonen,romance,mystery,martial,3,162__v4_mascot_shonen_012.png
v4_mascot_shonen_013,pet,shonen,romance,pirate,shinobi,3,163__v4_mascot_shonen_013.png
v4_mascot_shonen_014,pet,shonen,romance,mythology,samurai,3,164__v4_mascot_shonen_014.png
v4_mascot_shonen_015,pet,shonen,sports,space,magical,3,165__v4_mascot_shonen_015.png
v4_mascot_shonen_016,pet,shonen,sports,martial,shinobi,3,166__v4_mascot_shonen_016.png
v4_mascot_shonen_017,pet,shonen,cyber,space,mythology,3,167__v4_mascot_shonen_017.png
v4_mascot_shonen_018,pet,shonen,fantasy,mystery,space,3,168__v4_mascot_shonen_018.png
v4_mascot_shonen_019,pet,shonen,idol,mystery,supernatural,3,169__v4_mascot_shonen_019.png
v4_mascot_shonen_020,pet,shonen,mystery,cooking,military,3,170__v4_mascot_shonen_020.png
v4_mascot_shonen_021,pet,shonen,mystery,magical,samurai,3,171__v4_mascot_shonen_021.png
v4_mascot_shonen_022,pet,shonen,military,martial,mythology,3,172__v4_mascot_shonen_022.png
v4_mascot_shonen_023,pet,shonen,military,nordic,samurai,3,173__v4_mascot_shonen_023.png
v4_mascot_shonen_024,pet,shonen,space,pirate,nordic,3,174__v4_mascot_shonen_024.png
v4_mascot_shonen_025,pet,shonen,space,martial,samurai,3,175__v4_mascot_shonen_025.png
v4_mascot_shonen_026,pet,shonen,magical,martial,nordic,3,176__v4_mascot_shonen_026.png
v4_mascot_shonen_027,pet,shonen,magical,mythology,shinobi,3,177__v4_mascot_shonen_027.png
v4_mascot_shonen_028,pet,shonen,mecha,romance,survival,3,178__v4_mascot_shonen_028.png
v4_mascot_shonen_029,pet,shonen,mecha,fantasy,military,3,179__v4_mascot_shonen_029.png
v4_mascot_shonen_030,pet,shonen,sports,fantasy,cooking,3,180__v4_mascot_shonen_030.png
