id,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,batch,filename
v4_lead_shonen_001,protag,shonen,mecha,isekai,samurai,1,001__v4_lead_shonen_001.png
v4_lead_shonen_002,protag,shonen,mecha,romance,supernatural,1,002__v4_lead_shonen_002.png
v4_lead_shonen_003,protag,shonen,mecha,fantasy,mythology,1,003__v4_lead_shonen_003.png
v4_lead_shonen_004,protag,shonen,mecha,pirate,nordic,1,004__v4_lead_shonen_004.png
v4_lead_shonen_005,protag,shonen,isekai,idol,mythology,1,005__v4_lead_shonen_005.png
v4_lead_shonen_006,protag,shonen,isekai,mystery,martial,1,006__v4_lead_shonen_006.png
v4_lead_shonen_007,protag,shonen,isekai,comedy,nordic,1,007__v4_lead_shonen_007.png
v4_lead_shonen_008,protag,shonen,isekai,supernatural,space,1,008__v4_lead_shonen_008.png
v4_lead_shonen_009,protag,shonen,slice,cyber,mythology,1,009__v4_lead_shonen_009.png
v4_lead_shonen_010,protag,shonen,slice,idol,martial,1,010__v4_lead_shonen_010.png
v4_lead_shonen_011,protag,shonen,slice,cooking,military,1,011__v4_lead_shonen_011.png
v4_lead_shonen_012,protag,shonen,slice,nordic,shinobi,1,012__v4_lead_shonen_012.png
v4_lead_shonen_013,protag,shonen,horror,fantasy,comedy,1,013__v4_lead_shonen_013.png
v4_lead_shonen_014,protag,shonen,romance,sports,military,1,014__v4_lead_shonen_014.png
v4_lead_shonen_015,protag,shonen,romance,mystery,space,1,015__v4_lead_shonen_015.png
v4_lead_shonen_016,protag,shonen,romance,magical,survival,1,016__v4_lead_shonen_016.png
v4_lead_shonen_017,protag,shonen,sports,idol,samurai,1,017__v4_lead_shonen_017.png
v4_lead_shonen_018,protag,shonen,sports,space,nordic,1,018__v4_lead_shonen_018.png
v4_lead_shonen_019,protag,shonen,idol,military,shinobi,1,019__v4_lead_shonen_019.png
v4_lead_shonen_020,protag,shonen,idol,space,pirate,1,020__v4_lead_shonen_020.png
v4_lead_shonen_021,protag,shonen,idol,magical,nordic,1,021__v4_lead_shonen_021.png
v4_lead_shonen_022,protag,shonen,mystery,magical,mythology,1,022__v4_lead_shonen_022.png
v4_lead_shonen_023,protag,shonen,mystery,survival,samurai,1,023__v4_lead_shonen_023.png
v4_lead_shonen_024,protag,shonen,military,magical,pirate,1,024__v4_lead_shonen_024.png
v4_lead_shonen_025,protag,shonen,military,mythology,nordic,1,025__v4_lead_shonen_025.png
v4_lead_shonen_026,protag,shonen,supernatural,pirate,shinobi,1,026__v4_lead_shonen_026.png
v4_lead_shonen_027,protag,shonen,supernatural,martial,nordic,1,027__v4_lead_shonen_027.png
v4_lead_shonen_028,protag,shonen,space,survival,mythology,1,028__v4_lead_shonen_028.png
v4_lead_shonen_029,protag,shonen,survival,pirate,martial,1,029__v4_lead_shonen_029.png
v4_lead_shonen_030,protag,shonen,martial,samurai,shinobi,1,030__v4_lead_shonen_030.png
v4_lead_shonen_031,protag,shonen,romance,cyber,samurai,1,031__v4_lead_shonen_031.png
v4_lead_shonen_032,protag,shonen,horror,sports,mystery,1,032__v4_lead_shonen_032.png
v4_lead_shonen_033,protag,shonen,cyber,idol,comedy,1,033__v4_lead_shonen_033.png
v4_lead_shonen_034,protag,shonen,sports,survival,cooking,1,034__v4_lead_shonen_034.png
v4_lead_shonen_035,protag,shonen,fantasy,nordic,samurai,1,035__v4_lead_shonen_035.png
v4_lead_shonen_036,protag,shonen,slice,military,samurai,1,036__v4_lead_shonen_036.png
v4_lead_shojo_001,protag,shojo,mecha,slice,horror,1,037__v4_lead_shojo_001.png
v4_lead_shojo_002,protag,shojo,mecha,sports,magical,1,038__v4_lead_shojo_002.png
v4_lead_shojo_003,protag,shojo,mecha,idol,cooking,1,039__v4_lead_shojo_003.png
v4_lead_shojo_004,protag,shojo,mecha,comedy,survival,1,040__v4_lead_shojo_004.png
v4_lead_shojo_005,protag,shojo,mecha,military,martial,1,041__v4_lead_shojo_005.png
v4_lead_shojo_006,protag,shojo,isekai,horror,military,1,042__v4_lead_shojo_006.png
v4_lead_shojo_007,protag,shojo,isekai,romance,cooking,1,043__v4_lead_shojo_007.png
v4_lead_shojo_008,protag,shojo,isekai,magical,shinobi,1,044__v4_lead_shojo_008.png
v4_lead_shojo_009,protag,shojo,slice,sports,fantasy,1,045__v4_lead_shojo_009.png
v4_lead_shojo_010,protag,shojo,slice,space,magical,1,046__v4_lead_shojo_010.png
v4_lead_shojo_011,protag,shojo,horror,cyber,mystery,1,047__v4_lead_shojo_011.png
v4_lead_shojo_012,protag,shojo,horror,idol,supernatural,1,048__v4_lead_shojo_012.png
v4_lead_shojo_013,protag,shojo,horror,cooking,nordic,1,049__v4_lead_shojo_013.png
v4_lead_shojo_014,protag,shojo,horror,space,samurai,1,050__v4_lead_shojo_014.png
v4_lead_shojo_015,protag,shojo,horror,magical,martial,1,051__v4_lead_shojo_015.png
v4_lead_shojo_016,protag,shojo,horror,survival,shinobi,1,052__v4_lead_shojo_016.png
v4_lead_shojo_017,protag,shojo,horror,pirate,mythology,1,053__v4_lead_shojo_017.png
v4_lead_shojo_018,protag,shojo,romance,fantasy,martial,1,054__v4_lead_shojo_018.png
v4_lead_shojo_019,protag,shojo,sports,cyber,martial,1,055__v4_lead_shojo_019.png
v4_lead_shojo_020,protag,shojo,sports,cooking,mythology,1,056__v4_lead_shojo_020.png
v4_lead_shojo_021,protag,shojo,cyber,fantasy,shinobi,1,057__v4_lead_shojo_021.png
v4_lead_shojo_022,protag,shojo,cyber,cooking,pirate,1,058__v4_lead_shojo_022.png
v4_lead_shojo_023,protag,shojo,cyber,military,survival,1,059__v4_lead_shojo_023.png
v4_lead_shojo_024,protag,shojo,cyber,magical,samurai,1,060__v4_lead_shojo_024.png
v4_lead_shojo_025,protag,shojo,fantasy,idol,survival,1,061__v4_lead_shojo_025.png
v4_lead_shojo_026,protag,shojo,fantasy,mystery,cooking,1,062__v4_lead_shojo_026.png
v4_lead_shojo_027,protag,shojo,fantasy,military,space,1,063__v4_lead_shojo_027.png
v4_lead_shojo_028,protag,shojo,fantasy,pirate,samurai,1,064__v4_lead_shojo_028.png
v4_lead_shojo_029,protag,shojo,mystery,comedy,military,1,065__v4_lead_shojo_029.png
v4_lead_shojo_030,protag,shojo,comedy,cooking,samurai,1,066__v4_lead_shojo_030.png
v4_lead_shojo_031,protag,shojo,comedy,space,shinobi,1,067__v4_lead_shojo_031.png
v4_lead_shojo_032,protag,shojo,comedy,martial,mythology,1,068__v4_lead_shojo_032.png
v4_lead_shojo_033,protag,shojo,cooking,space,martial,1,069__v4_lead_shojo_033.png
v4_lead_shojo_034,protag,shojo,supernatural,mythology,samurai,1,070__v4_lead_shojo_034.png
v4_lead_shojo_035,protag,shojo,isekai,survival,pirate,1,071__v4_lead_shojo_035.png
v4_lead_shojo_036,protag,shojo,slice,comedy,romance,1,072__v4_lead_shojo_036.png
v4_lead_shojo_037,protag,shojo,sports,supernatural,military,1,073__v4_lead_shojo_037.png
v4_lead_shojo_038,protag,shojo,cooking,supernatural,magical,1,074__v4_lead_shojo_038.png
v4_lead_shojo_039,protag,shojo,fantasy,magical,comedy,1,075__v4_lead_shojo_039.png
v4_lead_shojo_040,protag,shojo,romance,nordic,cyber,1,076__v4_lead_shojo_040.png
v4_lead_shojo_041,protag,shojo,cyber,mystery,shinobi,1,077__v4_lead_shojo_041.png
v4_sidekick_shonen_001,secondary,shonen,mecha,slice,horror,1,078__v4_sidekick_shonen_001.png
v4_sidekick_shonen_002,secondary,shonen,mecha,romance,mystery,1,079__v4_sidekick_shonen_002.png
v4_sidekick_shonen_003,secondary,shonen,mecha,sports,shinobi,1,080__v4_sidekick_shonen_003.png
