id,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,batch,filename
v4_sidekick_shonen_004,secondary,shonen,mecha,idol,martial,2,081__v4_sidekick_shonen_004.png
v4_sidekick_shonen_005,secondary,shonen,mecha,pirate,mythology,2,082__v4_sidekick_shonen_005.png
v4_sidekick_shonen_006,secondary,shonen,isekai,slice,fantasy,2,083__v4_sidekick_shonen_006.png
v4_sidekick_shonen_007,secondary,shonen,isekai,romance,idol,2,084__v4_sidekick_shonen_007.png
v4_sidekick_shonen_008,secondary,shonen,isekai,sports,supernatural,2,085__v4_sidekick_shonen_008.png
v4_sidekick_shonen_009,secondary,shonen,isekai,military,samurai,2,086__v4_sidekick_shonen_009.png
v4_sidekick_shonen_010,secondary,shonen,isekai,magical,martial,2,087__v4_sidekick_shonen_010.png
v4_sidekick_shonen_011,secondary,shonen,isekai,survival,shinobi,2,088__v4_sidekick_shonen_011.png
v4_sidekick_shonen_012,secondary,shonen,slice,romance,shinobi,2,089__v4_sidekick_shonen_012.png
v4_sidekick_shonen_013,secondary,shonen,slice,idol,supernatural,2,090__v4_sidekick_shonen_013.png
v4_sidekick_shonen_014,secondary,shonen,slice,mystery,mythology,2,091__v4_sidekick_shonen_014.png
v4_sidekick_shonen_015,secondary,shonen,slice,magical,pirate,2,092__v4_sidekick_shonen_015.png
v4_sidekick_shonen_016,secondary,shonen,horror,romance,survival,2,093__v4_sidekick_shonen_016.png
v4_sidekick_shonen_017,secondary,shonen,horror,idol,samurai,2,094__v4_sidekick_shonen_017.png
v4_sidekick_shonen_018,secondary,shonen,romance,supernatural,space,2,095__v4_sidekick_shonen_018.png
v4_sidekick_shonen_019,secondary,shonen,romance,pirate,samurai,2,096__v4_sidekick_shonen_019.png
v4_sidekick_shonen_020,secondary,shonen,fantasy,cooking,nordic,2,097__v4_sidekick_shonen_020.png
v4_sidekick_shonen_021,secondary,shonen,idol,space,nordic,2,098__v4_sidekick_shonen_021.png
v4_sidekick_shonen_022,secondary,shonen,mystery,comedy,space,2,099__v4_sidekick_shonen_022.png
v4_sidekick_shonen_023,secondary,shonen,cooking,military,space,2,100__v4_sidekick_shonen_023.png
v4_sidekick_shonen_024,secondary,shonen,military,supernatural,martial,2,101__v4_sidekick_shonen_024.png
v4_sidekick_shonen_025,secondary,shonen,supernatural,magical,mythology,2,102__v4_sidekick_shonen_025.png
v4_sidekick_shonen_026,secondary,shonen,space,magical,shinobi,2,103__v4_sidekick_shonen_026.png
v4_sidekick_shonen_027,secondary,shonen,space,survival,samurai,2,104__v4_sidekick_shonen_027.png
v4_sidekick_shonen_028,secondary,shonen,mythology,samurai,shinobi,2,105__v4_sidekick_shonen_028.png
v4_sidekick_shonen_029,secondary,shonen,romance,fantasy,sports,2,106__v4_sidekick_shonen_029.png
v4_sidekick_shonen_030,secondary,shonen,sports,mystery,cyber,2,107__v4_sidekick_shonen_030.png
v4_sidekick_shonen_031,secondary,shonen,mystery,martial,nordic,2,108__v4_sidekick_shonen_031.png
v4_sidekick_shonen_032,secondary,shonen,cyber,magical,idol,2,109__v4_sidekick_shonen_032.png
v4_sidekick_shonen_033,secondary,shonen,military,pirate,survival,2,110__v4_sidekick_shonen_033.png
v4_sidekick_shonen_034,secondary,shonen,romance,mythology,cooking,2,111__v4_sidekick_shonen_034.png
v4_sidekick_shonen_035,secondary,shonen,slice,horror,survival,2,112__v4_sidekick_shonen_035.png
v4_sidekick_shojo_001,secondary,shojo,mecha,isekai,space,2,113__v4_sidekick_shojo_001.png
v4_sidekick_shojo_002,secondary,shojo,mecha,cyber,supernatural,2,114__v4_sidekick_shojo_002.png
v4_sidekick_shojo_003,secondary,shojo,mecha,fantasy,comedy,2,115__v4_sidekick_shojo_003.png
v4_sidekick_shojo_004,secondary,shojo,mecha,survival,nordic,2,116__v4_sidekick_shojo_004.png
v4_sidekick_shojo_005,secondary,shojo,isekai,horror,mystery,2,117__v4_sidekick_shojo_005.png
v4_sidekick_shojo_006,secondary,shojo,isekai,cyber,pirate,2,118__v4_sidekick_shojo_006.png
v4_sidekick_shojo_007,secondary,shojo,isekai,comedy,cooking,2,119__v4_sidekick_shojo_007.png
v4_sidekick_shojo_008,secondary,shojo,slice,sports,cooking,2,120__v4_sidekick_shojo_008.png
v4_sidekick_shojo_009,secondary,shojo,slice,cyber,comedy,2,121__v4_sidekick_shojo_009.png
v4_sidekick_shojo_010,secondary,shojo,slice,space,martial,2,122__v4_sidekick_shojo_010.png
v4_sidekick_shojo_011,secondary,shojo,horror,sports,nordic,2,123__v4_sidekick_shojo_011.png
